occupation_group,skill,year,count,n_postings,pct
Administrative & Support,3D Printing,2024,1,723,0.1383
Administrative & Support,APIs,2024,1,723,0.1383
Administrative & Support,Academic Advising,2024,7,723,0.9682
Administrative & Support,Accounting,2024,57,723,7.8838
Administrative & Support,Accounts Payable,2024,16,723,2.213
Administrative & Support,Accounts Receivable,2024,3,723,0.4149
Administrative & Support,Active Listening,2024,1,723,0.1383
Administrative & Support,Adaptability,2024,199,723,27.5242
Administrative & Support,Adobe Creative Suite,2024,5,723,0.6916
Administrative & Support,Agile,2024,2,723,0.2766
Administrative & Support,Artificial Intelligence,2024,5,723,0.6916
Administrative & Support,Asana,2024,1,723,0.1383
Administrative & Support,Auditing,2024,3,723,0.4149
Administrative & Support,Azure,2024,1,723,0.1383
Administrative & Support,Bilingual,2024,25,723,3.4578
Administrative & Support,Bookkeeping,2024,1,723,0.1383
Administrative & Support,Brand Management,2024,3,723,0.4149
Administrative & Support,Budgeting,2024,22,723,3.0429
Administrative & Support,Business Development,2024,21,723,2.9046
Administrative & Support,Business Intelligence,2024,3,723,0.4149
Administrative & Support,CAD,2024,2,723,0.2766
Administrative & Support,CFA,2024,1,723,0.1383
Administrative & Support,CNC,2024,1,723,0.1383
Administrative & Support,CPA,2024,6,723,0.8299
Administrative & Support,CPR,2024,34,723,4.7026
Administrative & Support,CRM Software,2024,11,723,1.5214
Administrative & Support,Care Coordination,2024,1,723,0.1383
Administrative & Support,Case Management,2024,8,723,1.1065
Administrative & Support,Chemical Engineering,2024,2,723,0.2766
Administrative & Support,Clinical Research,2024,6,723,0.8299
Administrative & Support,Cloud Computing,2024,2,723,0.2766
Administrative & Support,Communication Skills,2024,270,723,37.3444
Administrative & Support,Compliance,2024,129,723,17.8423
Administrative & Support,Conflict Resolution,2024,8,723,1.1065
Administrative & Support,Confluence,2024,2,723,0.2766
Administrative & Support,Content Marketing,2024,2,723,0.2766
Administrative & Support,Contract Review,2024,6,723,0.8299
Administrative & Support,Corporate Law,2024,5,723,0.6916
Administrative & Support,Cost Analysis,2024,1,723,0.1383
Administrative & Support,Creative Thinking,2024,69,723,9.5436
Administrative & Support,Critical Thinking,2024,12,723,1.6598
Administrative & Support,Cross-Functional Collaboration,2024,19,723,2.6279
Administrative & Support,Curriculum Development,2024,15,723,2.0747
Administrative & Support,Customer Service,2024,141,723,19.5021
Administrative & Support,Cybersecurity,2024,4,723,0.5533
Administrative & Support,Data Analysis,2024,63,723,8.7137
Administrative & Support,Data Collection,2024,18,723,2.4896
Administrative & Support,Data Engineering,2024,3,723,0.4149
Administrative & Support,Data Entry,2024,12,723,1.6598
Administrative & Support,Database Management,2024,17,723,2.3513
Administrative & Support,Decision Making,2024,28,723,3.8728
Administrative & Support,Deep Learning,2024,1,723,0.1383
Administrative & Support,DevOps,2024,2,723,0.2766
Administrative & Support,Digital Marketing,2024,6,723,0.8299
Administrative & Support,Due Diligence,2024,19,723,2.6279
Administrative & Support,ERP Systems,2024,6,723,0.8299
Administrative & Support,Editing,2024,23,723,3.1812
Administrative & Support,Educational Technology,2024,4,723,0.5533
Administrative & Support,Electrical Engineering,2024,2,723,0.2766
Administrative & Support,Electronic Health Records,2024,3,723,0.4149
Administrative & Support,Email Marketing,2024,2,723,0.2766
Administrative & Support,Emotional Intelligence,2024,10,723,1.3831
Administrative & Support,Environmental Engineering,2024,7,723,0.9682
Administrative & Support,Event Planning,2024,35,723,4.8409
Administrative & Support,FDA Regulations,2024,1,723,0.1383
Administrative & Support,Figma,2024,3,723,0.4149
Administrative & Support,Filing,2024,28,723,3.8728
Administrative & Support,Financial Analysis,2024,28,723,3.8728
Administrative & Support,Financial Planning,2024,12,723,1.6598
Administrative & Support,Financial Statements,2024,2,723,0.2766
Administrative & Support,Forecasting,2024,10,723,1.3831
Administrative & Support,Fundraising,2024,14,723,1.9364
Administrative & Support,GMP,2024,3,723,0.4149
Administrative & Support,Google Cloud Platform,2024,2,723,0.2766
Administrative & Support,Google Workspace,2024,14,723,1.9364
Administrative & Support,HIPAA,2024,3,723,0.4149
Administrative & Support,HRIS,2024,2,723,0.2766
Administrative & Support,HTML,2024,1,723,0.1383
Administrative & Support,ICD Coding,2024,3,723,0.4149
Administrative & Support,Illustrator,2024,2,723,0.2766
Administrative & Support,Immigration Law,2024,2,723,0.2766
Administrative & Support,InDesign,2024,1,723,0.1383
Administrative & Support,Instructional Design,2024,4,723,0.5533
Administrative & Support,Intellectual Property,2024,6,723,0.8299
Administrative & Support,Interpersonal Skills,2024,96,723,13.278
Administrative & Support,Inventory Management,2024,6,723,0.8299
Administrative & Support,Investment Analysis,2024,1,723,0.1383
Administrative & Support,Jira,2024,4,723,0.5533
Administrative & Support,Kanban,2024,1,723,0.1383
Administrative & Support,Kubernetes,2024,1,723,0.1383
Administrative & Support,LMS,2024,8,723,1.1065
Administrative & Support,Lab Management,2024,10,723,1.3831
Administrative & Support,Laboratory Skills,2024,1,723,0.1383
Administrative & Support,Leadership,2024,168,723,23.2365
Administrative & Support,Lean,2024,1,723,0.1383
Administrative & Support,Legal Compliance,2024,1,723,0.1383
Administrative & Support,Legal Research,2024,3,723,0.4149
Administrative & Support,LexisNexis,2024,1,723,0.1383
Administrative & Support,Linux,2024,1,723,0.1383
Administrative & Support,Litigation,2024,15,723,2.0747
Administrative & Support,MATLAB,2024,1,723,0.1383
Administrative & Support,Machine Learning,2024,1,723,0.1383
Administrative & Support,Market Research,2024,10,723,1.3831
Administrative & Support,Mechanical Engineering,2024,1,723,0.1383
Administrative & Support,Medical Terminology,2024,9,723,1.2448
Administrative & Support,Mental Health,2024,19,723,2.6279
Administrative & Support,Mentoring,2024,51,723,7.0539
Administrative & Support,Mergers and Acquisitions,2024,10,723,1.3831
Administrative & Support,Microsoft Excel,2024,152,723,21.0235
Administrative & Support,Microsoft Office,2024,113,723,15.6293
Administrative & Support,Microsoft PowerPoint,2024,50,723,6.9156
Administrative & Support,Microsoft Teams,2024,4,723,0.5533
Administrative & Support,Microsoft Word,2024,27,723,3.7344
Administrative & Support,Multitasking,2024,54,723,7.4689
Administrative & Support,Negotiation,2024,16,723,2.213
Administrative & Support,Networking,2024,18,723,2.4896
Administrative & Support,OSHA,2024,14,723,1.9364
Administrative & Support,Onboarding,2024,17,723,2.3513
Administrative & Support,Operations Management,2024,5,723,0.6916
Administrative & Support,Oracle,2024,2,723,0.2766
Administrative & Support,Organizational Skills,2024,217,723,30.0138
Administrative & Support,PHP,2024,16,723,2.213
Administrative & Support,PMP,2024,1,723,0.1383
Administrative & Support,PPC Advertising,2024,1,723,0.1383
Administrative & Support,Paralegal Skills,2024,1,723,0.1383
Administrative & Support,Patient Care,2024,41,723,5.6708
Administrative & Support,Payroll,2024,28,723,3.8728
Administrative & Support,Pharmacy,2024,15,723,2.0747
Administrative & Support,Photoshop,2024,5,723,0.6916
Administrative & Support,Physical Therapy,2024,17,723,2.3513
Administrative & Support,Power BI,2024,2,723,0.2766
Administrative & Support,Predictive Modeling,2024,4,723,0.5533
Administrative & Support,Presentation Skills,2024,16,723,2.213
Administrative & Support,Preventive Maintenance,2024,12,723,1.6598
Administrative & Support,Problem Solving,2024,97,723,13.4163
Administrative & Support,Process Improvement,2024,6,723,0.8299
Administrative & Support,Procurement,2024,30,723,4.1494
Administrative & Support,Project Management,2024,55,723,7.6072
Administrative & Support,Public Relations,2024,11,723,1.5214
Administrative & Support,Python,2024,14,723,1.9364
Administrative & Support,Quality Assurance,2024,20,723,2.7663
Administrative & Support,Quality Management Systems,2024,1,723,0.1383
Administrative & Support,Quantitative Analysis,2024,3,723,0.4149
Administrative & Support,QuickBooks,2024,1,723,0.1383
Administrative & Support,Radiology,2024,61,723,8.4371
Administrative & Support,React,2024,1,723,0.1383
Administrative & Support,Recruiting,2024,49,723,6.7773
Administrative & Support,Relationship Management,2024,15,723,2.0747
Administrative & Support,Remote Work,2024,17,723,2.3513
Administrative & Support,Reporting,2024,139,723,19.2254
Administrative & Support,Research,2024,9,723,1.2448
Administrative & Support,Revenue Analysis,2024,4,723,0.5533
Administrative & Support,Risk Management,2024,26,723,3.5961
Administrative & Support,Root Cause Analysis,2024,2,723,0.2766
Administrative & Support,SAP,2024,7,723,0.9682
Administrative & Support,SAS,2024,4,723,0.5533
Administrative & Support,SDLC,2024,2,723,0.2766
Administrative & Support,SEO,2024,1,723,0.1383
