occupation_group,skill,year,count,n_postings,pct
Administrative & Support,Patient Care,2022,22,594,3.7037
Administrative & Support,Payroll,2022,22,594,3.7037
Administrative & Support,Perl,2022,2,594,0.3367
Administrative & Support,Pharmacy,2022,11,594,1.8519
Administrative & Support,Photoshop,2022,6,594,1.0101
Administrative & Support,Physical Therapy,2022,8,594,1.3468
Administrative & Support,Power BI,2022,1,594,0.1684
Administrative & Support,Predictive Modeling,2022,1,594,0.1684
Administrative & Support,Presentation Skills,2022,15,594,2.5253
Administrative & Support,Preventive Maintenance,2022,2,594,0.3367
Administrative & Support,Problem Solving,2022,67,594,11.2795
Administrative & Support,Process Improvement,2022,4,594,0.6734
Administrative & Support,Procurement,2022,18,594,3.0303
Administrative & Support,Project Management,2022,42,594,7.0707
Administrative & Support,Public Relations,2022,15,594,2.5253
Administrative & Support,Python,2022,5,594,0.8418
Administrative & Support,Quality Assurance,2022,20,594,3.367
Administrative & Support,Quality Management Systems,2022,1,594,0.1684
Administrative & Support,Quantitative Analysis,2022,6,594,1.0101
Administrative & Support,QuickBooks,2022,1,594,0.1684
Administrative & Support,Radiology,2022,38,594,6.3973
Administrative & Support,Recruiting,2022,45,594,7.5758
Administrative & Support,Relationship Management,2022,9,594,1.5152
Administrative & Support,Remote Work,2022,10,594,1.6835
Administrative & Support,Reporting,2022,105,594,17.6768
Administrative & Support,Research,2022,15,594,2.5253
Administrative & Support,Risk Management,2022,21,594,3.5354
Administrative & Support,Robotics,2022,3,594,0.5051
Administrative & Support,Root Cause Analysis,2022,3,594,0.5051
Administrative & Support,SAP,2022,19,594,3.1987
Administrative & Support,SDLC,2022,1,594,0.1684
Administrative & Support,SEO,2022,3,594,0.5051
Administrative & Support,SHRM,2022,1,594,0.1684
Administrative & Support,SQL,2022,12,594,2.0202
Administrative & Support,Sales,2022,14,594,2.3569
Administrative & Support,Salesforce,2022,14,594,2.3569
Administrative & Support,Scala,2022,1,594,0.1684
Administrative & Support,Scheduling,2022,76,594,12.7946
Administrative & Support,Scientific Writing,2022,7,594,1.1785
Administrative & Support,Scrum,2022,1,594,0.1684
Administrative & Support,Self-Motivated,2022,162,594,27.2727
Administrative & Support,Series 63,2022,1,594,0.1684
Administrative & Support,Series 7,2022,1,594,0.1684
Administrative & Support,ServiceNow,2022,2,594,0.3367
Administrative & Support,Six Sigma,2022,4,594,0.6734
Administrative & Support,Sketch,2022,1,594,0.1684
Administrative & Support,Slack,2022,1,594,0.1684
Administrative & Support,Social Media,2022,32,594,5.3872
Administrative & Support,Social Media Marketing,2022,2,594,0.3367
Administrative & Support,Special Education,2022,19,594,3.1987
Administrative & Support,Statistical Analysis,2022,9,594,1.5152
Administrative & Support,Strategic Planning,2022,8,594,1.3468
Administrative & Support,Supply Chain Management,2022,9,594,1.5152
Administrative & Support,Survey Design,2022,5,594,0.8418
Administrative & Support,Tableau,2022,2,594,0.3367
Administrative & Support,Teamwork,2022,97,594,16.33
Administrative & Support,Time Management,2022,64,594,10.7744
Administrative & Support,Travel Coordination,2022,1,594,0.1684
Administrative & Support,Tutoring,2022,1,594,0.1684
Administrative & Support,UX Design,2022,3,594,0.5051
Administrative & Support,Underwriting,2022,15,594,2.5253
Administrative & Support,VBA,2022,7,594,1.1785
Administrative & Support,Valuation,2022,7,594,1.1785
Administrative & Support,Verbal Communication,2022,39,594,6.5657
Administrative & Support,Web Development,2022,1,594,0.1684
Administrative & Support,Workday,2022,5,594,0.8418
Administrative & Support,Written Communication,2022,81,594,13.6364
Compliance & Risk,Accounting,2022,10,128,7.8125
Compliance & Risk,Accounts Payable,2022,1,128,0.7812
Compliance & Risk,Accounts Receivable,2022,2,128,1.5625
Compliance & Risk,Adaptability,2022,38,128,29.6875
Compliance & Risk,Agile,2022,1,128,0.7812
Compliance & Risk,Artificial Intelligence,2022,2,128,1.5625
Compliance & Risk,Auditing,2022,19,128,14.8438
Compliance & Risk,AutoCAD,2022,2,128,1.5625
Compliance & Risk,Bookkeeping,2022,1,128,0.7812
Compliance & Risk,Brand Management,2022,1,128,0.7812
Compliance & Risk,Budgeting,2022,1,128,0.7812
Compliance & Risk,CISSP,2022,3,128,2.3438
Compliance & Risk,CPA,2022,2,128,1.5625
Compliance & Risk,Clinical Research,2022,1,128,0.7812
Compliance & Risk,Communication Skills,2022,51,128,39.8438
Compliance & Risk,CompTIA,2022,1,128,0.7812
Compliance & Risk,Compliance,2022,113,128,88.2812
Compliance & Risk,Contract Review,2022,1,128,0.7812
Compliance & Risk,Cost Analysis,2022,1,128,0.7812
Compliance & Risk,Creative Thinking,2022,30,128,23.4375
Compliance & Risk,Critical Thinking,2022,4,128,3.125
Compliance & Risk,Cross-Functional Collaboration,2022,8,128,6.25
Compliance & Risk,Customer Service,2022,18,128,14.0625
Compliance & Risk,Cybersecurity,2022,6,128,4.6875
Compliance & Risk,Data Analysis,2022,12,128,9.375
Compliance & Risk,Data Collection,2022,3,128,2.3438
Compliance & Risk,Data Engineering,2022,1,128,0.7812
Compliance & Risk,Data Mining,2022,1,128,0.7812
Compliance & Risk,Data Visualization,2022,8,128,6.25
Compliance & Risk,Database Management,2022,2,128,1.5625
Compliance & Risk,Decision Making,2022,15,128,11.7188
Compliance & Risk,Due Diligence,2022,2,128,1.5625
Compliance & Risk,Editing,2022,3,128,2.3438
Compliance & Risk,Environmental Engineering,2022,1,128,0.7812
Compliance & Risk,Filing,2022,12,128,9.375
Compliance & Risk,Financial Analysis,2022,4,128,3.125
Compliance & Risk,Financial Planning,2022,1,128,0.7812
Compliance & Risk,Forecasting,2022,1,128,0.7812
Compliance & Risk,Fundraising,2022,1,128,0.7812
Compliance & Risk,GMP,2022,3,128,2.3438
Compliance & Risk,ICD Coding,2022,1,128,0.7812
Compliance & Risk,Intellectual Property,2022,1,128,0.7812
Compliance & Risk,Interpersonal Skills,2022,6,128,4.6875
Compliance & Risk,LMS,2022,1,128,0.7812
Compliance & Risk,Leadership,2022,32,128,25.0
Compliance & Risk,Litigation,2022,2,128,1.5625
Compliance & Risk,MATLAB,2022,1,128,0.7812
Compliance & Risk,Machine Learning,2022,2,128,1.5625
Compliance & Risk,Market Research,2022,2,128,1.5625
Compliance & Risk,Mental Health,2022,1,128,0.7812
Compliance & Risk,Mentoring,2022,1,128,0.7812
Compliance & Risk,Microsoft Excel,2022,39,128,30.4688
Compliance & Risk,Microsoft Office,2022,23,128,17.9688
Compliance & Risk,Microsoft PowerPoint,2022,13,128,10.1562
Compliance & Risk,Microsoft Word,2022,7,128,5.4688
Compliance & Risk,Multitasking,2022,11,128,8.5938
Compliance & Risk,MySQL,2022,1,128,0.7812
Compliance & Risk,Negotiation,2022,16,128,12.5
Compliance & Risk,Networking,2022,4,128,3.125
Compliance & Risk,OSHA,2022,2,128,1.5625
Compliance & Risk,Onboarding,2022,2,128,1.5625
Compliance & Risk,Oracle,2022,9,128,7.0312
Compliance & Risk,Organizational Skills,2022,55,128,42.9688
Compliance & Risk,Paralegal Skills,2022,3,128,2.3438
Compliance & Risk,Pharmacy,2022,1,128,0.7812
Compliance & Risk,Physical Therapy,2022,1,128,0.7812
Compliance & Risk,Presentation Skills,2022,7,128,5.4688
Compliance & Risk,Problem Solving,2022,58,128,45.3125
Compliance & Risk,Process Improvement,2022,2,128,1.5625
Compliance & Risk,Procurement,2022,1,128,0.7812
Compliance & Risk,Project Management,2022,22,128,17.1875
Compliance & Risk,Python,2022,9,128,7.0312
Compliance & Risk,Quality Assurance,2022,10,128,7.8125
Compliance & Risk,Quality Management Systems,2022,1,128,0.7812
Compliance & Risk,Quantitative Analysis,2022,3,128,2.3438
Compliance & Risk,Recruiting,2022,13,128,10.1562
Compliance & Risk,Regression Analysis,2022,1,128,0.7812
Compliance & Risk,Regulatory Affairs,2022,3,128,2.3438
Compliance & Risk,Relationship Management,2022,3,128,2.3438
Compliance & Risk,Reporting,2022,44,128,34.375
Compliance & Risk,Research,2022,3,128,2.3438
Compliance & Risk,Risk Management,2022,33,128,25.7812
Compliance & Risk,Robotics,2022,1,128,0.7812
Compliance & Risk,Root Cause Analysis,2022,1,128,0.7812
Compliance & Risk,SAP,2022,5,128,3.9062
Compliance & Risk,SAS,2022,23,128,17.9688
Compliance & Risk,SDLC,2022,1,128,0.7812
Compliance & Risk,SQL,2022,15,128,11.7188
Compliance & Risk,SQL Server,2022,9,128,7.0312
Compliance & Risk,Salesforce,2022,1,128,0.7812
Compliance & Risk,Scheduling,2022,5,128,3.9062
Compliance & Risk,Self-Motivated,2022,20,128,15.625
Compliance & Risk,Slack,2022,1,128,0.7812
Compliance & Risk,Social Media,2022,1,128,0.7812
Compliance & Risk,Statistical Analysis,2022,8,128,6.25
Compliance & Risk,Strategic Planning,2022,1,128,0.7812
Compliance & Risk,Supply Chain Management,2022,5,128,3.9062
Compliance & Risk,Tableau,2022,8,128,6.25
Compliance & Risk,Teamwork,2022,27,128,21.0938
Compliance & Risk,Technical Writing,2022,1,128,0.7812
Compliance & Risk,Time Management,2022,17,128,13.2812
Compliance & Risk,Underwriting,2022,1,128,0.7812
Compliance & Risk,VBA,2022,1,128,0.7812
Compliance & Risk,Valuation,2022,1,128,0.7812
Compliance & Risk,Verbal Communication,2022,14,128,10.9375
Compliance & Risk,Workday,2022,2,128,1.5625
Compliance & Risk,Written Communication,2022,25,128,19.5312
Data & Analytics,A/B Testing,2022,1,216,0.463
Data & Analytics,APIs,2022,4,216,1.8519
Data & Analytics,AWS,2022,4,216,1.8519
Data & Analytics,Accounting,2022,29,216,13.4259
Data & Analytics,Adaptability,2022,55,216,25.463
Data & Analytics,Agile,2022,42,216,19.4444
Data & Analytics,Artificial Intelligence,2022,5,216,2.3148
Data & Analytics,Asana,2022,1,216,0.463
Data & Analytics,Auditing,2022,6,216,2.7778
Data & Analytics,Azure,2022,8,216,3.7037
Data & Analytics,Big Data,2022,8,216,3.7037
Data & Analytics,Bilingual,2022,1,216,0.463
Data & Analytics,Bloomberg Terminal,2022,2,216,0.9259
Data & Analytics,Brand Management,2022,1,216,0.463
Data & Analytics,Budgeting,2022,3,216,1.3889
Data & Analytics,Business Development,2022,4,216,1.8519
Data & Analytics,Business Intelligence,2022,28,216,12.963
Data & Analytics,CI/CD,2022,3,216,1.3889
Data & Analytics,CPA,2022,2,216,0.9259
Data & Analytics,CRM Software,2022,10,216,4.6296
Data & Analytics,CSS,2022,6,216,2.7778
Data & Analytics,Case Management,2022,5,216,2.3148
Data & Analytics,Clinical Research,2022,1,216,0.463
Data & Analytics,Cloud Computing,2022,5,216,2.3148
Data & Analytics,Communication Skills,2022,95,216,43.9815
Data & Analytics,Compliance,2022,40,216,18.5185
Data & Analytics,Computer Vision,2022,1,216,0.463
Data & Analytics,Confluence,2022,7,216,3.2407
Data & Analytics,Contract Review,2022,3,216,1.3889
Data & Analytics,Cost Analysis,2022,4,216,1.8519
Data & Analytics,Creative Thinking,2022,22,216,10.1852
Data & Analytics,Critical Thinking,2022,12,216,5.5556
Data & Analytics,Cross-Functional Collaboration,2022,27,216,12.5
Data & Analytics,Customer Service,2022,27,216,12.5
Data & Analytics,Cybersecurity,2022,4,216,1.8519
Data & Analytics,Data Analysis,2022,96,216,44.4444
Data & Analytics,Data Collection,2022,9,216,4.1667
Data & Analytics,Data Engineering,2022,19,216,8.7963
Data & Analytics,Data Entry,2022,2,216,0.9259
Data & Analytics,Data Mining,2022,7,216,3.2407
Data & Analytics,Data Visualization,2022,22,216,10.1852
Data & Analytics,Data Warehousing,2022,19,216,8.7963
Data & Analytics,Database Management,2022,8,216,3.7037
Data & Analytics,Decision Making,2022,18,216,8.3333
Data & Analytics,Deep Learning,2022,5,216,2.3148
Data & Analytics,DevOps,2022,7,216,3.2407
Data & Analytics,Digital Marketing,2022,2,216,0.9259
Data & Analytics,Django,2022,4,216,1.8519
Data & Analytics,Docker,2022,4,216,1.8519
Data & Analytics,ERP Systems,2022,6,216,2.7778
Data & Analytics,Editing,2022,2,216,0.9259
Data & Analytics,Educational Technology,2022,1,216,0.463
Data & Analytics,Electrical Engineering,2022,5,216,2.3148
Data & Analytics,Electronic Health Records,2022,2,216,0.9259
Data & Analytics,Email Marketing,2022,1,216,0.463
Data & Analytics,Emotional Intelligence,2022,1,216,0.463
Data & Analytics,Filing,2022,6,216,2.7778
Data & Analytics,Financial Analysis,2022,5,216,2.3148
Data & Analytics,Financial Statements,2022,2,216,0.9259
Data & Analytics,Forecasting,2022,9,216,4.1667
Data & Analytics,Fundraising,2022,1,216,0.463
Data & Analytics,Git,2022,13,216,6.0185
Data & Analytics,Google Analytics,2022,8,216,3.7037
Data & Analytics,Google Cloud Platform,2022,3,216,1.3889
Data & Analytics,Google Workspace,2022,5,216,2.3148
Data & Analytics,HIPAA,2022,4,216,1.8519
Data & Analytics,HRIS,2022,1,216,0.463
Data & Analytics,HTML,2022,1,216,0.463
Data & Analytics,Instructional Design,2022,1,216,0.463
Data & Analytics,Intellectual Property,2022,1,216,0.463
Data & Analytics,Interpersonal Skills,2022,16,216,7.4074
Data & Analytics,Inventory Management,2022,2,216,0.9259
Data & Analytics,Java,2022,17,216,7.8704
Data & Analytics,JavaScript,2022,7,216,3.2407
Data & Analytics,Jira,2022,14,216,6.4815
Data & Analytics,Kanban,2022,1,216,0.463
Data & Analytics,Kubernetes,2022,2,216,0.9259
Data & Analytics,LMS,2022,3,216,1.3889
Data & Analytics,Leadership,2022,31,216,14.3519
Data & Analytics,Lean,2022,1,216,0.463
Data & Analytics,Linux,2022,5,216,2.3148
Data & Analytics,Literature Review,2022,1,216,0.463
Data & Analytics,Litigation,2022,1,216,0.463
Data & Analytics,Machine Learning,2022,24,216,11.1111
Data & Analytics,Market Research,2022,3,216,1.3889
Data & Analytics,Marketing Analytics,2022,1,216,0.463
Data & Analytics,Marketing Automation,2022,1,216,0.463
Data & Analytics,Marketo,2022,1,216,0.463
Data & Analytics,Medical Terminology,2022,2,216,0.9259
Data & Analytics,Mental Health,2022,4,216,1.8519
Data & Analytics,Mentoring,2022,3,216,1.3889
Data & Analytics,Mergers and Acquisitions,2022,1,216,0.463
Data & Analytics,Microsoft Excel,2022,86,216,39.8148
Data & Analytics,Microsoft Office,2022,41,216,18.9815
Data & Analytics,Microsoft PowerPoint,2022,21,216,9.7222
Data & Analytics,Microsoft Word,2022,9,216,4.1667
Data & Analytics,Multitasking,2022,9,216,4.1667
Data & Analytics,MySQL,2022,1,216,0.463
Data & Analytics,Natural Language Processing,2022,5,216,2.3148
Data & Analytics,Negotiation,2022,2,216,0.9259
Data & Analytics,Networking,2022,4,216,1.8519
Data & Analytics,NoSQL,2022,3,216,1.3889
Data & Analytics,OSHA,2022,2,216,0.9259
Data & Analytics,Onboarding,2022,5,216,2.3148
Data & Analytics,Oracle,2022,11,216,5.0926
Data & Analytics,Organizational Skills,2022,68,216,31.4815
Data & Analytics,PHP,2022,5,216,2.3148
Data & Analytics,PLC Programming,2022,4,216,1.8519
Data & Analytics,PMP,2022,4,216,1.8519
Data & Analytics,Payroll,2022,3,216,1.3889
Data & Analytics,Perl,2022,3,216,1.3889
Data & Analytics,Pharmacy,2022,2,216,0.9259
