occupation_group,skill,year,count,n_postings,pct
Administrative & Support,3D Printing,2021,1,502,0.1992
Administrative & Support,APIs,2021,2,502,0.3984
Administrative & Support,AWS,2021,1,502,0.1992
Administrative & Support,Academic Advising,2021,3,502,0.5976
Administrative & Support,Accounting,2021,41,502,8.1673
Administrative & Support,Accounts Payable,2021,9,502,1.7928
Administrative & Support,Accounts Receivable,2021,5,502,0.996
Administrative & Support,Active Listening,2021,7,502,1.3944
Administrative & Support,Adaptability,2021,136,502,27.0916
Administrative & Support,Adobe Creative Suite,2021,3,502,0.5976
Administrative & Support,Agile,2021,10,502,1.992
Administrative & Support,Asana,2021,1,502,0.1992
Administrative & Support,Auditing,2021,13,502,2.5896
Administrative & Support,AutoCAD,2021,1,502,0.1992
Administrative & Support,Azure,2021,7,502,1.3944
Administrative & Support,Bilingual,2021,11,502,2.1912
Administrative & Support,Bloomberg Terminal,2021,2,502,0.3984
Administrative & Support,Brand Management,2021,3,502,0.5976
Administrative & Support,Budgeting,2021,5,502,0.996
Administrative & Support,Business Development,2021,11,502,2.1912
Administrative & Support,Business Intelligence,2021,3,502,0.5976
Administrative & Support,CAD,2021,3,502,0.5976
Administrative & Support,CFA,2021,7,502,1.3944
Administrative & Support,CI/CD,2021,1,502,0.1992
Administrative & Support,CISSP,2021,1,502,0.1992
Administrative & Support,CPA,2021,5,502,0.996
Administrative & Support,CPR,2021,16,502,3.1873
Administrative & Support,CRM Software,2021,4,502,0.7968
Administrative & Support,CSS,2021,1,502,0.1992
Administrative & Support,Care Coordination,2021,4,502,0.7968
Administrative & Support,Case Management,2021,13,502,2.5896
Administrative & Support,Certified Nursing,2021,1,502,0.1992
Administrative & Support,Chemical Engineering,2021,2,502,0.3984
Administrative & Support,Clinical Research,2021,3,502,0.5976
Administrative & Support,Communication Skills,2021,152,502,30.2789
Administrative & Support,Compliance,2021,85,502,16.9323
Administrative & Support,Conflict Resolution,2021,9,502,1.7928
Administrative & Support,Content Marketing,2021,1,502,0.1992
Administrative & Support,Contract Review,2021,7,502,1.3944
Administrative & Support,Copywriting,2021,3,502,0.5976
Administrative & Support,Creative Thinking,2021,36,502,7.1713
Administrative & Support,Critical Thinking,2021,9,502,1.7928
Administrative & Support,Cross-Functional Collaboration,2021,17,502,3.3865
Administrative & Support,Curriculum Development,2021,3,502,0.5976
Administrative & Support,Customer Service,2021,101,502,20.1195
Administrative & Support,Cybersecurity,2021,1,502,0.1992
Administrative & Support,Data Analysis,2021,50,502,9.9602
Administrative & Support,Data Collection,2021,5,502,0.996
Administrative & Support,Data Engineering,2021,1,502,0.1992
Administrative & Support,Data Entry,2021,17,502,3.3865
Administrative & Support,Data Visualization,2021,1,502,0.1992
Administrative & Support,Data Warehousing,2021,3,502,0.5976
Administrative & Support,Database Management,2021,12,502,2.3904
Administrative & Support,Decision Making,2021,20,502,3.9841
Administrative & Support,DevOps,2021,1,502,0.1992
Administrative & Support,Digital Marketing,2021,2,502,0.3984
Administrative & Support,Due Diligence,2021,8,502,1.5936
Administrative & Support,ERP Systems,2021,3,502,0.5976
Administrative & Support,Editing,2021,26,502,5.1793
Administrative & Support,Electronic Health Records,2021,2,502,0.3984
Administrative & Support,Email Marketing,2021,4,502,0.7968
Administrative & Support,Emotional Intelligence,2021,3,502,0.5976
Administrative & Support,Event Planning,2021,17,502,3.3865
Administrative & Support,Failure Analysis,2021,2,502,0.3984
Administrative & Support,Filing,2021,17,502,3.3865
Administrative & Support,Financial Analysis,2021,13,502,2.5896
Administrative & Support,Financial Planning,2021,13,502,2.5896
Administrative & Support,Financial Statements,2021,1,502,0.1992
Administrative & Support,Forecasting,2021,17,502,3.3865
Administrative & Support,Fundraising,2021,7,502,1.3944
Administrative & Support,GMP,2021,4,502,0.7968
Administrative & Support,Google Analytics,2021,2,502,0.3984
Administrative & Support,Google Workspace,2021,7,502,1.3944
Administrative & Support,HIPAA,2021,4,502,0.7968
Administrative & Support,HRIS,2021,1,502,0.1992
Administrative & Support,HTML,2021,7,502,1.3944
Administrative & Support,ICD Coding,2021,3,502,0.5976
Administrative & Support,Illustrator,2021,6,502,1.1952
Administrative & Support,InDesign,2021,4,502,0.7968
Administrative & Support,Instructional Design,2021,1,502,0.1992
Administrative & Support,Intellectual Property,2021,3,502,0.5976
Administrative & Support,Interpersonal Skills,2021,68,502,13.5458
Administrative & Support,Inventory Management,2021,19,502,3.7849
Administrative & Support,Investment Analysis,2021,3,502,0.5976
Administrative & Support,Jira,2021,5,502,0.996
Administrative & Support,Kubernetes,2021,1,502,0.1992
Administrative & Support,LMS,2021,2,502,0.3984
Administrative & Support,Leadership,2021,78,502,15.5378
Administrative & Support,Legal Compliance,2021,1,502,0.1992
Administrative & Support,Legal Research,2021,2,502,0.3984
Administrative & Support,Litigation,2021,9,502,1.7928
Administrative & Support,MATLAB,2021,2,502,0.3984
Administrative & Support,Machine Learning,2021,3,502,0.5976
Administrative & Support,Market Research,2021,8,502,1.5936
Administrative & Support,Marketing Analytics,2021,1,502,0.1992
Administrative & Support,Marketing Automation,2021,1,502,0.1992
Administrative & Support,Marketo,2021,1,502,0.1992
Administrative & Support,Medical Terminology,2021,2,502,0.3984
Administrative & Support,Mental Health,2021,13,502,2.5896
Administrative & Support,Mentoring,2021,31,502,6.1753
Administrative & Support,Mergers and Acquisitions,2021,6,502,1.1952
Administrative & Support,Microsoft Excel,2021,151,502,30.0797
Administrative & Support,Microsoft Office,2021,128,502,25.498
Administrative & Support,Microsoft PowerPoint,2021,54,502,10.757
Administrative & Support,Microsoft Teams,2021,2,502,0.3984
Administrative & Support,Microsoft Word,2021,26,502,5.1793
Administrative & Support,Multitasking,2021,47,502,9.3625
Administrative & Support,Natural Language Processing,2021,3,502,0.5976
Administrative & Support,Negotiation,2021,16,502,3.1873
Administrative & Support,Networking,2021,9,502,1.7928
Administrative & Support,NoSQL,2021,1,502,0.1992
Administrative & Support,Nursing,2021,1,502,0.1992
Administrative & Support,OSHA,2021,2,502,0.3984
Administrative & Support,Onboarding,2021,13,502,2.5896
Administrative & Support,Oracle,2021,5,502,0.996
Administrative & Support,Organizational Skills,2021,172,502,34.2629
Administrative & Support,PHP,2021,2,502,0.3984
Administrative & Support,PHR,2021,1,502,0.1992
Administrative & Support,PMP,2021,2,502,0.3984
Administrative & Support,PPC Advertising,2021,2,502,0.3984
Administrative & Support,Paralegal Skills,2021,1,502,0.1992
Administrative & Support,Patient Care,2021,20,502,3.9841
Administrative & Support,Payroll,2021,22,502,4.3825
Administrative & Support,Perl,2021,1,502,0.1992
Administrative & Support,Pharmacy,2021,5,502,0.996
Administrative & Support,Photoshop,2021,12,502,2.3904
Administrative & Support,Physical Therapy,2021,8,502,1.5936
Administrative & Support,Power BI,2021,3,502,0.5976
Administrative & Support,Presentation Skills,2021,35,502,6.9721
Administrative & Support,Preventive Maintenance,2021,1,502,0.1992
Administrative & Support,Problem Solving,2021,74,502,14.741
Administrative & Support,Process Improvement,2021,9,502,1.7928
Administrative & Support,Procurement,2021,24,502,4.7809
Administrative & Support,Project Management,2021,42,502,8.3665
Administrative & Support,Public Relations,2021,8,502,1.5936
Administrative & Support,Python,2021,8,502,1.5936
Administrative & Support,Quality Assurance,2021,27,502,5.3785
Administrative & Support,Quality Management Systems,2021,1,502,0.1992
Administrative & Support,Quantitative Analysis,2021,4,502,0.7968
Administrative & Support,Radiology,2021,4,502,0.7968
Administrative & Support,React,2021,3,502,0.5976
Administrative & Support,Recruiting,2021,47,502,9.3625
Administrative & Support,Relationship Management,2021,14,502,2.7888
Administrative & Support,Remote Work,2021,14,502,2.7888
Administrative & Support,Reporting,2021,86,502,17.1315
Administrative & Support,Research,2021,9,502,1.7928
Administrative & Support,Risk Management,2021,17,502,3.3865
Administrative & Support,Root Cause Analysis,2021,2,502,0.3984
Administrative & Support,SAP,2021,7,502,1.3944
Administrative & Support,SAS,2021,4,502,0.7968
Administrative & Support,SDLC,2021,6,502,1.1952
Administrative & Support,SEO,2021,7,502,1.3944
