occupation_group,skill,year,count,n_postings,pct
Administrative & Support,3D Printing,2023,2,611,0.3273
Administrative & Support,APIs,2023,1,611,0.1637
Administrative & Support,AWS,2023,4,611,0.6547
Administrative & Support,Academic Advising,2023,2,611,0.3273
Administrative & Support,Accounting,2023,42,611,6.874
Administrative & Support,Accounts Payable,2023,12,611,1.964
Administrative & Support,Accounts Receivable,2023,3,611,0.491
Administrative & Support,Active Listening,2023,2,611,0.3273
Administrative & Support,Adaptability,2023,200,611,32.7332
Administrative & Support,Adobe Creative Suite,2023,3,611,0.491
Administrative & Support,Agile,2023,1,611,0.1637
Administrative & Support,Artificial Intelligence,2023,7,611,1.1457
Administrative & Support,Asana,2023,1,611,0.1637
Administrative & Support,Auditing,2023,5,611,0.8183
Administrative & Support,AutoCAD,2023,3,611,0.491
Administrative & Support,Azure,2023,5,611,0.8183
Administrative & Support,Big Data,2023,1,611,0.1637
Administrative & Support,Bilingual,2023,22,611,3.6007
Administrative & Support,Bookkeeping,2023,1,611,0.1637
Administrative & Support,Brand Management,2023,4,611,0.6547
Administrative & Support,Budgeting,2023,13,611,2.1277
Administrative & Support,Business Development,2023,7,611,1.1457
Administrative & Support,CAD,2023,1,611,0.1637
Administrative & Support,CFA,2023,2,611,0.3273
Administrative & Support,CISSP,2023,1,611,0.1637
Administrative & Support,CNC,2023,2,611,0.3273
Administrative & Support,CPA,2023,1,611,0.1637
Administrative & Support,CPR,2023,39,611,6.383
Administrative & Support,CRM Software,2023,20,611,3.2733
Administrative & Support,Care Coordination,2023,3,611,0.491
Administrative & Support,Case Management,2023,19,611,3.1097
Administrative & Support,Certified Nursing,2023,2,611,0.3273
Administrative & Support,Chemical Engineering,2023,5,611,0.8183
Administrative & Support,Civil Engineering,2023,1,611,0.1637
Administrative & Support,Classroom Management,2023,7,611,1.1457
Administrative & Support,Clinical Research,2023,1,611,0.1637
Administrative & Support,Communication Skills,2023,203,611,33.2242
Administrative & Support,CompTIA,2023,2,611,0.3273
Administrative & Support,Compliance,2023,104,611,17.0213
Administrative & Support,Conflict Resolution,2023,13,611,2.1277
Administrative & Support,Content Marketing,2023,2,611,0.3273
Administrative & Support,Contract Review,2023,5,611,0.8183
Administrative & Support,Corporate Law,2023,1,611,0.1637
Administrative & Support,Cost Analysis,2023,3,611,0.491
Administrative & Support,Creative Thinking,2023,45,611,7.365
Administrative & Support,Critical Thinking,2023,13,611,2.1277
Administrative & Support,Cross-Functional Collaboration,2023,31,611,5.0736
Administrative & Support,Curriculum Development,2023,1,611,0.1637
Administrative & Support,Customer Service,2023,161,611,26.3502
Administrative & Support,Cybersecurity,2023,3,611,0.491
Administrative & Support,Data Analysis,2023,34,611,5.5646
Administrative & Support,Data Collection,2023,12,611,1.964
Administrative & Support,Data Engineering,2023,1,611,0.1637
Administrative & Support,Data Entry,2023,16,611,2.6187
Administrative & Support,Data Visualization,2023,1,611,0.1637
